City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,286.23,62,81,4.57,AU,1699550196
1,walvis bay,-22.9575,14.5053,290.42,78,9,2.99,NA,1699550356
2,waitangi,-43.9535,-176.5597,281.7,65,82,13.36,NZ,1699550193
3,wailua homesteads,22.0669,-159.378,298.59,80,75,9.26,US,1699550205
4,albany,42.6001,-73.9662,281.28,72,98,1.89,US,1699550065
5,tillaberi,14.2117,1.4531,307.34,10,94,1.28,NE,1699550361
6,west island,-12.1568,96.8225,299.14,89,70,4.63,CC,1699550134
7,ushuaia,-54.8,-68.3,283.96,35,40,7.2,AR,1699549927
8,remire-montjoly,4.9167,-52.2667,305.17,58,8,5.66,GF,1699549902
9,fondi,41.3541,13.4313,290.27,75,96,1.06,IT,1699550364
10,lae,-6.7221,146.9847,297.7,87,98,1.57,PG,1699550365
11,adamstown,-25.066,-130.1015,295.59,87,100,7.0,PN,1699550104
12,mildura,-34.2,142.15,293.8,36,1,3.19,AU,1699549829
13,bahia blanca,-38.7196,-62.2724,302.49,10,0,5.36,AR,1699550367
14,kavaratti,10.5669,72.642,301.44,74,100,2.64,IN,1699550172
15,nova vicosa,-17.8919,-39.3719,301.1,54,0,5.45,BR,1699550368
16,port-aux-francais,-49.35,70.2167,278.62,95,100,11.61,TF,1699550086
17,bredasdorp,-34.5322,20.0403,290.36,64,0,4.32,ZA,1699550164
18,suva,-18.1416,178.4415,297.86,83,75,3.09,FJ,1699549860
19,katsuura,35.1333,140.3,291.36,79,3,2.01,JP,1699550371
20,bilibino,68.0546,166.4372,251.36,99,98,1.16,RU,1699550158
21,port elizabeth,-33.918,25.5701,291.1,78,0,2.06,ZA,1699550217
22,isafjordur,66.0755,-23.124,277.17,65,75,8.23,IS,1699550108
23,antsiranana,-12.2787,49.2917,298.81,84,26,4.4,MG,1699550374
24,vorgashor,67.5833,63.95,272.57,97,100,5.77,RU,1699550089
25,nikolayevsk-on-amure,53.1406,140.73,263.04,99,98,1.12,RU,1699550375
26,juba,4.8517,31.5825,301.68,51,71,0.55,SS,1699550376
27,beterou,9.1992,2.2586,305.9,39,55,1.18,BJ,1699550377
28,kapit,2.0167,112.9333,296.21,98,99,0.3,MY,1699550377
29,punta arenas,-53.15,-70.9167,283.77,40,98,11.39,CL,1699549937
30,kudat,6.8837,116.8477,299.11,94,100,1.54,MY,1699550379
31,saint-philippe,-21.3585,55.7679,297.92,80,79,5.08,RE,1699549836
32,grytviken,-54.2811,-36.5092,274.66,98,99,2.32,GS,1699550109
33,vilyuchinsk,52.9306,158.4028,272.3,81,77,3.4,RU,1699550259
34,geraldton,-28.7667,114.6,292.38,68,100,9.77,AU,1699550382
35,bethel,41.3712,-73.414,285.64,72,100,1.54,US,1699550096
36,burang,30.25,81.1667,270.62,74,39,2.33,CN,1699550383
37,codrington,-38.2667,141.9667,282.45,91,61,2.82,AU,1699550384
38,ust'-ilimsk,58.0006,102.6619,256.73,96,18,0.45,RU,1699550073
39,talnakh,69.4865,88.3972,267.71,91,100,8.08,RU,1699549875
